score,baseline,sch_treatment,dist_ses,schid,distid
5.559216,1.383101,1,-0.6422619999999999,1,1
-0.10739400000000002,-0.789654,1,-0.6422619999999999,1,1
0.049476,-0.760867,1,-0.6422619999999999,1,1
-2.387703,-0.7985269999999999,1,-0.6422619999999999,1,1
1.180393,-0.41137700000000005,1,-0.6422619999999999,1,1
3.9590049999999994,-0.987154,1,-0.6422619999999999,2,1
-0.895792,-1.9667729999999999,1,-0.6422619999999999,2,1
2.8790869999999997,0.42117000000000004,1,-0.6422619999999999,2,1
5.611088,1.6704700000000001,1,-0.6422619999999999,2,1
2.828119,0.001154,1,-0.6422619999999999,2,1
-1.785083,0.198726,0,-0.6422619999999999,3,1
1.390374,3.254492,0,-0.6422619999999999,3,1
-0.36733699999999997,0.9753059999999999,0,-0.6422619999999999,3,1
-0.662727,0.018443,0,-0.6422619999999999,3,1
-2.506328,-0.6787759999999999,0,-0.6422619999999999,3,1
-1.7235899999999997,-0.748374,0,-0.6422619999999999,4,1
-2.0228679999999994,-0.61854,0,-0.6422619999999999,4,1
-2.736283,-1.16512,0,-0.6422619999999999,4,1
-0.061647,0.47926,0,-0.6422619999999999,4,1
2.3969929999999997,1.361143,0,-0.6422619999999999,4,1
2.881915,0.8327580000000001,1,-0.6422619999999999,5,1
-1.193951,0.5344490000000001,1,-0.6422619999999999,5,1
1.781612,1.104796,1,-0.6422619999999999,5,1
0.7893229999999999,0.6036619999999999,1,-0.6422619999999999,5,1
1.526149,-1.126913,1,-0.6422619999999999,5,1
0.691199,0.100804,0,-0.6422619999999999,6,1
-1.7088409999999998,-1.367549,0,-0.6422619999999999,6,1
0.8197210000000001,-0.6723459999999999,0,-0.6422619999999999,6,1
-1.04121,-0.21893700000000005,0,-0.6422619999999999,6,1
4.264767,2.034624,0,-0.6422619999999999,6,1
2.421601,0.890619,0,-0.6422619999999999,7,1
0.399642,-0.33809999999999996,0,-0.6422619999999999,7,1
-1.1616209999999998,0.8139810000000001,0,-0.6422619999999999,7,1
3.072621,1.127037,0,-0.6422619999999999,7,1
-1.374931,-1.1826160000000001,0,-0.6422619999999999,7,1
1.689265,-0.600772,1,-0.6422619999999999,8,1
3.2634990000000004,0.9063450000000001,1,-0.6422619999999999,8,1
2.382181,-1.980075,1,-0.6422619999999999,8,1
-1.8283770000000001,-1.536762,1,-0.6422619999999999,8,1
1.5516919999999998,0.7855829999999998,1,-0.6422619999999999,8,1
1.976162,-0.736173,1,-0.6422619999999999,9,1
1.440983,0.804992,1,-0.6422619999999999,9,1
0.9585210000000001,0.191823,1,-0.6422619999999999,9,1
0.619159,-0.440224,1,-0.6422619999999999,9,1
1.679035,-0.741548,1,-0.6422619999999999,9,1
-0.350387,-0.08604500000000001,0,-0.6422619999999999,10,1
-0.30060099999999995,1.096098,0,-0.6422619999999999,10,1
0.099593,0.22167699999999999,0,-0.6422619999999999,10,1
-0.053750000000000006,0.731887,0,-0.6422619999999999,10,1
0.25604899999999997,1.1985870000000003,0,-0.6422619999999999,10,1
5.3551899999999995,1.43615,1,-0.6422619999999999,11,1
1.1846850000000002,-0.6012069999999999,1,-0.6422619999999999,11,1
3.7929399999999998,1.0130299999999999,1,-0.6422619999999999,11,1
0.6894459999999999,0.6975259999999999,1,-0.6422619999999999,11,1
2.276089,-0.619035,1,-0.6422619999999999,11,1
-1.4094799999999998,0.180489,0,-0.6422619999999999,12,1
-2.165775,-0.51157,0,-0.6422619999999999,12,1
-1.093188,1.309477,0,-0.6422619999999999,12,1
-2.0062919999999997,1.0797489999999998,0,-0.6422619999999999,12,1
-0.6833099999999999,1.2346309999999998,0,-0.6422619999999999,12,1
-0.289713,1.0839279999999998,0,-0.6422619999999999,13,1
-1.6079009999999998,0.590929,0,-0.6422619999999999,13,1
2.6626559999999997,2.3364769999999995,0,-0.6422619999999999,13,1
-1.1909480000000001,-0.750732,0,-0.6422619999999999,13,1
0.127658,0.7031149999999999,0,-0.6422619999999999,13,1
1.4913379999999998,0.8235790000000001,0,-0.6422619999999999,14,1
4.737223000000001,1.587015,0,-0.6422619999999999,14,1
-2.6194779999999995,-1.157405,0,-0.6422619999999999,14,1
2.2847980000000003,0.046797,0,-0.6422619999999999,14,1
2.613277,0.8380950000000001,0,-0.6422619999999999,14,1
0.387711,0.550518,0,-0.6422619999999999,15,1
-0.526585,0.8176800000000001,0,-0.6422619999999999,15,1
-0.7826369999999999,-0.051904,0,-0.6422619999999999,15,1
-2.3976689999999996,-1.0637189999999999,0,-0.6422619999999999,15,1
-0.510296,-1.970858,0,-0.6422619999999999,15,1
-2.7447220000000003,-0.255081,0,-0.6422619999999999,16,1
-0.17694600000000005,-0.24731600000000004,0,-0.6422619999999999,16,1
-1.49524,0.197887,0,-0.6422619999999999,16,1
-1.4435029999999998,-0.20479800000000004,0,-0.6422619999999999,16,1
-3.670718,-1.5038349999999998,0,-0.6422619999999999,16,1
2.3532469999999996,0.07716300000000002,1,-0.6422619999999999,17,1
-0.111393,-0.167187,1,-0.6422619999999999,17,1
0.586595,-0.907555,1,-0.6422619999999999,17,1
1.9852379999999998,0.040761,1,-0.6422619999999999,17,1
-0.422639,-1.2348739999999998,1,-0.6422619999999999,17,1
0.15284500000000004,-0.396438,0,-0.6422619999999999,18,1
1.168206,-0.184694,0,-0.6422619999999999,18,1
-1.788581,0.628404,0,-0.6422619999999999,18,1
1.4199799999999998,-0.315156,0,-0.6422619999999999,18,1
